pair_id,label,weight,band_lo,band_hi,cross_outlet,emb_hl_body600,emb_hl_body200,emb_hl_only,tfidf_char35_hl_body1200,tfidf_char35_hl_only,tfidf_syl12_hl_body1200,jaccard_syl8_body3000,jaccard_syl5_body3000
5ab7c53c_77b4a116,1,20.76,0.96,0.98,1,0.9778081774711609,0.982438325881958,0.9317958950996399,0.7098654509495744,0.689372972378146,0.7546335206870457,0.6004932182490752,0.6320754716981132
aa26a4b5_d5741738,1,20.76,0.96,0.98,0,0.9741287231445312,0.9567717909812927,0.9020530581474304,0.5186965350031999,0.8481693090751246,0.4109087661555427,0.06539833531510107,0.07682619647355164
695b9b15_aa5e5e8e,1,92.8,0.9,0.92,1,0.9009865522384644,0.757942795753479,0.9117335081100464,0.8265096111413722,0.9361039782414827,0.7895195568786431,0.32,0.3680555555555556
a6441de9_c6f8bbb3,1,131.32,0.88,0.9,1,0.8805729150772095,0.7277519106864929,0.8174320459365845,0.6294405230793132,0.46962564955740127,0.4539000266623908,0.0034965034965034965,0.02323503127792672
db465e96_faa3a7be,1,3423.375,0.75,0.8,1,0.7847312688827515,0.7997130155563354,0.9999998807907104,0.605393306744104,0.9999999999999999,0.5410509192238111,0.6171284634760705,0.6317829457364341
5d0e9c50_c449b991,0,131.32,0.88,0.9,0,0.8809723258018494,0.8480956554412842,0.29881834983825684,0.44413879448934224,0.24030093773895195,0.17519029551306,0.0024813895781637717,0.008291873963515755
3b9e10de_5f050ebf,0,31.933333333333334,0.94,0.96,1,0.9580556750297546,0.8455449342727661,0.523368775844574,0.7647031375751134,0.22840559888276227,0.6872951647813716,0.07549361207897794,0.149616368286445
dde31faa_6c00d9ed,0,31.933333333333334,0.94,0.96,0,0.9556431770324707,0.9396503567695618,0.5534601211547852,0.974512687958898,0.24419974890932203,0.9717649997365835,0.915129151291513,0.9154411764705882
c9577b3e_9d1c758d,1,21.96,0.98,1.01,1,0.9887212514877319,0.9922717213630676,0.9860343933105469,0.9752815926299571,0.947193930757941,0.9589057564286249,0.830110497237569,0.8690140845070422
41e67531_383fa79a,0,1411.0833333333333,0.8,0.85,1,0.8049856424331665,0.8163248300552368,0.6822511553764343,0.30972116469313343,0.3276506110020427,0.18297235079421326,0.0,0.0016806722689075631
9d01954c_6d513846,1,21.96,0.98,1.01,1,0.9899949431419373,0.955575704574585,0.6762145757675171,0.9327586636336581,0.21262925429510818,0.9612618413359417,0.8604992657856094,0.8951367781155015
25702305_291247e3,1,20.76,0.96,0.98,1,0.9634771347045898,0.958102822303772,1.000000238418579,0.9624146028378893,1.0000000000000007,0.9211215110398836,0.8618421052631579,0.8704545454545455
108dc25d_c817f94b,1,1411.0833333333333,0.8,0.85,1,0.8396916389465332,0.8292277455329895,0.6762102842330933,0.4418933320591971,0.5669545839301824,0.3036701077437045,0.004594180704441042,0.009345794392523364
b65ac5cd_02f9d99f,1,21.96,0.98,1.01,1,0.9890109896659851,0.9999998807907104,1.0,0.8660457989852819,1.0,0.841065440767783,0.803030303030303,0.8092566619915849
39bbd95e_7906f188,0,92.8,0.9,0.92,1,0.9007295966148376,0.675183892250061,0.5593851804733276,0.5118334727026479,0.38930697228450717,0.234263779493908,0.0024793388429752068,0.010998307952622674
